ids,gensec,editor-in-chief,guest,country,date
64,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Валько, Дьердь",Hungary,1968-12-31T00:00:00
65,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Вайтом, Бернар",France,1990-12-13T00:00:00
66,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),Ванчаарай Ш.,Mongolia,1974-09-07T00:00:00
67,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Ванькова, Алена",Czechoslovak Socialist Republic(Czechia),1976-10-31T00:00:00
68,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Варма(Верма), Шрікант з дружиною",India,1984-07-19T00:00:00
69,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Варненська, Моніка",Poland,1977-01-17T00:00:00
70,Y. V. Andropov (1982 - 1984),Korotych V. (1978-1986),"Величкович, Павле",Yugoslavia,1983-04-07T00:00:00
71,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Велкер, Фран",USA,1991-12-31T00:00:00
72,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Вельбертс, Рольф",Federal Republic of Germany,1990-04-04T00:00:00
73,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Вентура, Маріо",Portugal,1977-05-24T00:00:00
74,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Вентурі, Марчелло",Italy,1977-10-17T00:00:00
75,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Вереш, Йожеф",Hungary,1971-11-22T00:00:00
76,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Вишневський, Сжи",Poland,1971-05-14T00:00:00
77,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Віддікомбе, Тейн",Canada,1988-10-12T00:00:00
78,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Він Пе, Моньва",Myanmar,1991-09-30T00:00:00
79,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Вітана, Гунасена",Sri Lanka,1974-11-29T00:00:00
80,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),Віткова М.,Czechoslovak Socialist Republic(Czechia),1984-12-13T00:00:00
81,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Вовк, Віра",Brazil,1990-09-12T00:00:00
82,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Воскович, Владімір",Poland,1984-10-19T00:00:00
83,M. S. Gorbachev (1985 - 1991),Korotych V. (1978-1986),"Восковський, Владімеж",Poland,1986-03-17T00:00:00
