,year,source,target
1240,1962.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1241,1962.0,Great Britain. English Literature,"Мікеш, Джордж"
1242,1962.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1243,1962.0,Great Britain. English Literature,"Мікеш, Джордж"
1244,1962.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1245,1962.0,Great Britain. English Literature,"Мікеш, Джордж"
1246,1962.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1247,1962.0,Great Britain. English Literature,"Мікеш, Джордж"
1248,1958.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1249,1958.0,Great Britain. English Literature,"Мільтон, Джон"
1250,1958.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1251,1958.0,Great Britain. English Literature,"Мільтон, Джон"
1252,1958.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1253,1958.0,Great Britain. English Literature,"Мільтон, Джон"
1254,1958.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1255,1958.0,Great Britain. English Literature,"Мільтон, Джон"
1256,1958.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1257,1958.0,Great Britain. English Literature,"Мільтон, Джон"
1258,1976.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1259,1976.0,Great Britain. English Literature,"Мільтон, Джон"
1260,1983.0,Y. V. Andropov (1982 - 1984),Great Britain. English Literature
1261,1983.0,Great Britain. English Literature,"Мільтон, Джон"
1262,1983.0,Y. V. Andropov (1982 - 1984),Great Britain. English Literature
1263,1983.0,Great Britain. English Literature,"Мільтон, Джон"
1264,1969.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1265,1969.0,Great Britain. English Literature,"Моем, Вільям Сомерсет"
1266,1969.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1267,1969.0,Great Britain. English Literature,"Моем, Вільям Сомерсет"
1268,1966.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1269,1966.0,Great Britain. English Literature,"Моем, Вільям Сомерсет"
1270,1966.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1271,1966.0,Great Britain. English Literature,"Моем, Вільям Сомерсет"
1272,1981.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1273,1981.0,Great Britain. English Literature,"Моем, Вільям Сомерсет"
1274,1963.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1275,1963.0,Great Britain. English Literature,"Моем, Вільям Сомерсет"
1276,1963.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1277,1963.0,Great Britain. English Literature,"Моем, Вільям Сомерсет"
1278,1984.0,K. U. Chernenko (1984 - 1985),Great Britain. English Literature
1279,1984.0,Great Britain. English Literature,"Монсаррат, Ніколас"
1280,1985.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1281,1985.0,Great Britain. English Literature,"Мортон, Джон"
1282,1983.0,Y. V. Andropov (1982 - 1984),Great Britain. English Literature
1283,1983.0,Great Britain. English Literature,"Мунро, Гектор(псевдонім - Сакі)"
1284,,,
1285,,,
1286,1983.0,Y. V. Andropov (1982 - 1984),Great Britain. English Literature
1287,1983.0,Great Britain. English Literature,"Мунро, Гектор(псевдонім - Сакі)"
1288,,,
1289,,,
1290,1964.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1291,1964.0,Great Britain. English Literature,"Мунро, Гектор(псевдонім - Сакі)"
1292,1964.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1293,1964.0,Great Britain. English Literature,"Мунро, Гектор(псевдонім - Сакі)"
1294,1964.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1295,1964.0,Great Britain. English Literature,"Мунро, Гектор(псевдонім - Сакі)"
1296,1988.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1297,1988.0,Great Britain. English Literature,"Орвелл, Джордж"
1298,1991.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1299,1991.0,Great Britain. English Literature,"Орвелл, Джордж"
1300,1958.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1301,1958.0,Great Britain. English Literature,"Парджетер, Едіт"
1302,1967.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1303,1967.0,Great Britain. English Literature,"Полден, Джеймс"
1304,1986.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1305,1986.0,Great Britain. English Literature,"Поп, Александер"
1306,1959.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1307,1959.0,Great Britain. English Literature,"Прістлі, Джон Бойнтон"
1308,,,
1309,,,
1310,1976.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1311,1976.0,Great Britain. English Literature,"Прітчетт, Віктор"
1312,1976.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1313,1976.0,Great Britain. English Literature,"Прітчетт, Віктор"
1314,1976.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1315,1976.0,Great Britain. English Literature,"Прітчетт, Віктор"
1316,1981.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1317,1981.0,Great Britain. English Literature,"Прітчетт, Віктор"
1318,1984.0,K. U. Chernenko (1984 - 1985),Great Britain. English Literature
1319,1984.0,Great Britain. English Literature,"Рід, Пірс Пол"
1320,,,
1321,,,
1322,1987.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1323,1987.0,Great Britain. English Literature,"Свінберн, Алджернон Чарлз"
1324,1963.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1325,1963.0,Great Britain. English Literature,"Сіллітоу, Алан"
1326,1969.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1327,1969.0,Great Britain. English Literature,"Стівенсон, Роберт Льюїс"
1328,1984.0,K. U. Chernenko (1984 - 1985),Great Britain. English Literature
1329,1984.0,Great Britain. English Literature,"Тейн, Пол"
1330,1979.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1331,1979.0,Great Britain. English Literature,"Тенісон, Альфред"
1332,1973.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1333,1973.0,Great Britain. English Literature,"Томас, Ділан"
1334,1970.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1335,1970.0,Great Britain. English Literature,"Травен, Б"
1336,1986.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1337,1986.0,Great Britain. English Literature,"Тремейн, Роуз"
1338,1979.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1339,1979.0,Great Britain. English Literature,"Уайльд(Уайлд), Оскар"
1340,1966.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1341,1966.0,Great Britain. English Literature,"Уейд, Роберт"
1342,1981.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1343,1981.0,Great Britain. English Literature,"Уейн, Джон"
1344,,,
1345,,,
1346,1981.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1347,1981.0,Great Britain. English Literature,"Уейн, Джон"
1348,,,
1349,,,
1350,1973.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1351,1973.0,Great Britain. English Literature,"Уейн, Джон"
1352,1973.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1353,1973.0,Great Britain. English Literature,"Уейн, Джон"
1354,1973.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1355,1973.0,Great Britain. English Literature,"Уейн, Джон"
1356,1963.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1357,1963.0,Great Britain. English Literature,"Уескер, Арнольд"
1358,1985.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1359,1985.0,Great Britain. English Literature,"Уїндем, Джон"
1360,1991.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1361,1991.0,Great Britain. English Literature,"Уїндем, Джон"
1362,1986.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1363,1986.0,Great Britain. English Literature,"Уїндем, Джон"
1364,1961.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1365,1961.0,Great Britain. English Literature,"Уолліс, Дейв"
1366,,,
1367,,,
1368,1990.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1369,1990.0,Great Britain. English Literature,"Флемінг, Ян"
1370,1990.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1371,1990.0,Great Britain. English Literature,"Флемінг, Ян"
1372,1987.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1373,1987.0,Great Britain. English Literature,Форстер Е. М
1374,1989.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1375,1989.0,Great Britain. English Literature,"Фрімен, Річард Остін"
1376,1979.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1377,1979.0,Great Britain. English Literature,"Хілл, Сьюзен"
1378,1979.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1379,1979.0,Great Britain. English Literature,"Хілл, Сьюзен"
1380,1991.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1381,1991.0,Great Britain. English Literature,"Чейз, Джеймс Хедлі"
1382,1978.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1383,1978.0,Great Britain. English Literature,"Чосер, Джеффрі"
1384,1978.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1385,1978.0,Great Britain. English Literature,"Чосер, Джеффрі"
1386,1975.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1387,1975.0,Great Britain. English Literature,"Шекспір, Вільям(Уїльям)"
1388,1964.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1389,1964.0,Great Britain. English Literature,"Шекспір, Вільям(Уїльям)"
1390,1986.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1391,1986.0,Great Britain. English Literature,"Шекспір, Вільям(Уїльям)"
1392,1959.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1393,1959.0,Great Britain. English Literature,"Шекспір, Вільям(Уїльям)"
1394,1961.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1395,1961.0,Great Britain. English Literature,"Шекспір, Вільям(Уїльям)"
1396,1964.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1397,1964.0,Great Britain. English Literature,"Шекспір, Вільям(Уїльям)"
1398,,,
1399,,,
1400,1983.0,Y. V. Andropov (1982 - 1984),Great Britain. English Literature
1401,1983.0,Great Britain. English Literature,"Шекспір, Вільям(Уїльям)"
1402,1965.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1403,1965.0,Great Britain. English Literature,"Шекспір, Вільям(Уїльям)"
1404,1963.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1405,1963.0,Great Britain. English Literature,"Шеллі, Персі Біші"
1406,1972.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1407,1972.0,Great Britain. English Literature,"Шеллі, Персі Біші"
1408,,,
1409,,,
1410,1987.0,M. S. Gorbachev (1985 - 1991),Great Britain. English Literature
1411,1987.0,Great Britain. English Literature,"Шеллі, Персі Біші"
1412,1958.0,N. S. Khrushchev (1953 - 1964),Great Britain. English Literature
1413,1958.0,Great Britain. English Literature,"Шеллі, Персі Біші"
1414,1976.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1415,1976.0,Great Britain. English Literature,"Шоу, Бернард"
1416,,,
1417,,,
1418,1965.0,L. I. Brezhnev (1964 - 1982),Great Britain. English Literature
1419,1965.0,Great Britain. English Literature,"Шоу, Бернард"
1420,1933.0,J. V. Stalin (1922 - 1952),Great Britain. English Literature
1421,1933.0,Great Britain. English Literature,"Шоу, Бернард"
1422,1979.0,L. I. Brezhnev (1964 - 1982),Great Britain. Scottish Literature
1423,1979.0,Great Britain. Scottish Literature,"Бернс, Роберт"
1424,1986.0,M. S. Gorbachev (1985 - 1991),Great Britain. Scottish Literature
1425,1986.0,Great Britain. Scottish Literature,"Бернс, Роберт"
1426,1959.0,N. S. Khrushchev (1953 - 1964),Great Britain. Scottish Literature
1427,1959.0,Great Britain. Scottish Literature,"Бернс, Роберт"
1428,,,
1429,,,
1430,1978.0,L. I. Brezhnev (1964 - 1982),Great Britain. Scottish Literature
1431,1978.0,Great Britain. Scottish Literature,"Бернс, Роберт"
1432,1987.0,M. S. Gorbachev (1985 - 1991),Great Britain. Scottish Literature
1433,1987.0,Great Britain. Scottish Literature,"Бернс, Роберт"
1434,1967.0,L. I. Brezhnev (1964 - 1982),Great Britain. Scottish Literature
1435,1967.0,Great Britain. Scottish Literature,"Макдіармід, Х’ю"
1436,1991.0,M. S. Gorbachev (1985 - 1991),Great Britain. Scottish Literature
1437,1991.0,Great Britain. Scottish Literature,"Сміт, Ян(Ієн) Крайтон"
1438,1977.0,L. I. Brezhnev (1964 - 1982),Vietnam
1439,1977.0,Vietnam,"Ань, Ті"
1440,1978.0,L. I. Brezhnev (1964 - 1982),Vietnam
1441,1978.0,Vietnam,"Ань, Тхо"
1442,1975.0,L. I. Brezhnev (1964 - 1982),Vietnam
1443,1975.0,Vietnam,"Буй, Хіен"
1444,1978.0,L. I. Brezhnev (1964 - 1982),Vietnam
1445,1978.0,Vietnam,"Ван, Конг"
1446,1976.0,L. I. Brezhnev (1964 - 1982),Vietnam
1447,1976.0,Vietnam,"Гюї, Кан"
1448,1973.0,L. I. Brezhnev (1964 - 1982),Vietnam
1449,1973.0,Vietnam,"Дінь, Куанг Ня"
1450,1975.0,L. I. Brezhnev (1964 - 1982),Vietnam
1451,1975.0,Vietnam,"До, Тю"
1452,,,
1453,,,
1454,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1455,1984.0,Vietnam,"Зионг, Хионг Лі"
1456,1978.0,L. I. Brezhnev (1964 - 1982),Vietnam
1457,1978.0,Vietnam,"І, Ньї"
1458,1967.0,L. I. Brezhnev (1964 - 1982),Vietnam
1459,1967.0,Vietnam,"Лам, Донг"
1460,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1461,1984.0,Vietnam,"Лам, Тхі Мі За"
1462,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1463,1984.0,Vietnam,"Ле, Тхі Май"
1464,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1465,1984.0,Vietnam,"Ле, Тхі Май"
1466,1969.0,L. I. Brezhnev (1964 - 1982),Vietnam
1467,1969.0,Vietnam,Мінь Ле
1468,,,
1469,,,
1470,1979.0,L. I. Brezhnev (1964 - 1982),Vietnam
1471,1979.0,Vietnam,"Нгуєн, Ван Бонг"
1472,1972.0,L. I. Brezhnev (1964 - 1982),Vietnam
1473,1972.0,Vietnam,"Нгуєн, Дінь Тьєу"
1474,1977.0,L. I. Brezhnev (1964 - 1982),Vietnam
1475,1977.0,Vietnam,"Нгуєн, Зуан Шань"
1476,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1477,1984.0,Vietnam,"Нгуєн, Зуй"
1478,,,
1479,,,
1480,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1481,1984.0,Vietnam,"Нгуєн, Зуй"
1482,,,
1483,,,
1484,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1485,1984.0,Vietnam,"Нгуєн, Мі"
1486,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1487,1984.0,Vietnam,"Нгуєн, Мі"
1488,1975.0,L. I. Brezhnev (1964 - 1982),Vietnam
1489,1975.0,Vietnam,"Нгуєн(Нгуен), Тхі Кам Тхань"
1490,1974.0,L. I. Brezhnev (1964 - 1982),Vietnam
1491,1974.0,Vietnam,"Нгуєн(Нгуен), Тхі Кам Тхань"
1492,1978.0,L. I. Brezhnev (1964 - 1982),Vietnam
1493,1978.0,Vietnam,"Нгуєн, Хонг"
1494,1971.0,L. I. Brezhnev (1964 - 1982),Vietnam
1495,1971.0,Vietnam,"Нгуєн, Шанг"
1496,1985.0,M. S. Gorbachev (1985 - 1991),Vietnam
1497,1985.0,Vietnam,"Суан, Зієу"
1498,1969.0,L. I. Brezhnev (1964 - 1982),Vietnam
1499,1969.0,Vietnam,"Тан, Ча"
1500,1975.0,L. I. Brezhnev (1964 - 1982),Vietnam
1501,1975.0,Vietnam,"Те, Хань"
1502,1979.0,L. I. Brezhnev (1964 - 1982),Vietnam
1503,1979.0,Vietnam,"То, Хиу"
1504,1977.0,L. I. Brezhnev (1964 - 1982),Vietnam
1505,1977.0,Vietnam,"То, Хиу"
1506,1959.0,N. S. Khrushchev (1953 - 1964),Vietnam
1507,1959.0,Vietnam,"То, Хоай"
1508,,,
1509,,,
1510,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1511,1984.0,Vietnam,"Тхань, Тунг"
1512,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1513,1984.0,Vietnam,"Тхань, Тунг"
1514,1985.0,M. S. Gorbachev (1985 - 1991),Vietnam
1515,1985.0,Vietnam,"Тхань, Тхао"
1516,1978.0,L. I. Brezhnev (1964 - 1982),Vietnam
1517,1978.0,Vietnam,"Тхань, Хай"
1518,1958.0,N. S. Khrushchev (1953 - 1964),Vietnam
1519,1958.0,Vietnam,"Тхать, Лам"
1520,,,
1521,,,
1522,1985.0,M. S. Gorbachev (1985 - 1991),Vietnam
1523,1985.0,Vietnam,"Фам, Нгок Кань"
1524,1967.0,L. I. Brezhnev (1964 - 1982),Vietnam
1525,1967.0,Vietnam,"Фан, Ти"
1526,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1527,1984.0,Vietnam,"Хну, Тхінь"
1528,1984.0,K. U. Chernenko (1984 - 1985),Vietnam
1529,1984.0,Vietnam,"Хну, Тхінь"
1530,1963.0,N. S. Khrushchev (1953 - 1964),Vietnam
1531,1963.0,Vietnam,"Хо, Ші Мін"
1532,,,
1533,,,
1534,1980.0,L. I. Brezhnev (1964 - 1982),Vietnam
1535,1980.0,Vietnam,"Хо, Ші Мін"
1536,1978.0,L. I. Brezhnev (1964 - 1982),Vietnam
1537,1978.0,Vietnam,"Хоай, Ань"
1538,1986.0,M. S. Gorbachev (1985 - 1991),Vietnam
1539,1986.0,Vietnam,"Хоанг, Чунг Тхонг"
1540,1978.0,L. I. Brezhnev (1964 - 1982),Vietnam
1541,1978.0,Vietnam,"Чінь, Хай"
1542,1932.0,J. V. Stalin (1922 - 1952),Armenia
1543,1932.0,Armenia,"В’штуні, Азат"
1544,1974.0,L. I. Brezhnev (1964 - 1982),Haiti
1545,1974.0,Haiti,"Брієр, Жан"
1546,1976.0,L. I. Brezhnev (1964 - 1982),Haiti
1547,1976.0,Haiti,"Брієр, Жан"
1548,1974.0,L. I. Brezhnev (1964 - 1982),Haiti
1549,1974.0,Haiti,"Депестр, Рене"
1550,1986.0,M. S. Gorbachev (1985 - 1991),Haiti
1551,1986.0,Haiti,"Депестр, Рене"
1552,,,
1553,,,
1554,1974.0,L. I. Brezhnev (1964 - 1982),Haiti
1555,1974.0,Haiti,"Моріссо, Ролан"
1556,1974.0,L. I. Brezhnev (1964 - 1982),Haiti
1557,1974.0,Haiti,"Румен, Жак"
1558,1974.0,L. I. Brezhnev (1964 - 1982),Haiti
1559,1974.0,Haiti,"Фелпс, Антоні"
1560,1974.0,L. I. Brezhnev (1964 - 1982),Haiti
1561,1974.0,Haiti,"Філоктет, Рене"
1562,1984.0,K. U. Chernenko (1984 - 1985),Guyana
1563,1984.0,Guyana,"Нарайн, Гаррі"
1564,1984.0,K. U. Chernenko (1984 - 1985),Guyana
1565,1984.0,Guyana,"Нарайн, Гаррі"
1566,1984.0,K. U. Chernenko (1984 - 1985),Guyana
1567,1984.0,Guyana,"Нарайн, Гаррі"
1568,1984.0,K. U. Chernenko (1984 - 1985),Guyana
1569,1984.0,Guyana,"Нарайн, Гаррі"
1570,1962.0,N. S. Khrushchev (1953 - 1964),Ghana
1571,1962.0,Ghana,"Дей-Ананг, М"
1572,1962.0,N. S. Khrushchev (1953 - 1964),Ghana
1573,1962.0,Ghana,"Дей-Ананг, М"
1574,1962.0,N. S. Khrushchev (1953 - 1964),Ghana
1575,1962.0,Ghana,"Дей-Ананг, М"
1576,1962.0,N. S. Khrushchev (1953 - 1964),Ghana
1577,1962.0,Ghana,"Дей-Ананг, М"
1578,1959.0,N. S. Khrushchev (1953 - 1964),Ghana
1579,1959.0,Ghana,"Дуду, Камерон"
1580,,,
1581,,,
1582,1963.0,N. S. Khrushchev (1953 - 1964),Ghana
1583,1963.0,Ghana,"Окай(Окаї), Джон"
1584,1972.0,L. I. Brezhnev (1964 - 1982),Ghana
1585,1972.0,Ghana,"Окай(Окаї), Джон"
1586,1976.0,L. I. Brezhnev (1964 - 1982),Guatemala
1587,1976.0,Guatemala,"Астуріас, Мігель Анхель(Анхел, Ангель)"
1588,1959.0,N. S. Khrushchev (1953 - 1964),Guatemala
1589,1959.0,Guatemala,"Астуріас, Мігель Анхель(Анхел, Ангель)"
1590,1977.0,L. I. Brezhnev (1964 - 1982),Guatemala
1591,1977.0,Guatemala,"Астуріас, Мігель Анхель(Анхел, Ангель)"
1592,1977.0,L. I. Brezhnev (1964 - 1982),Guatemala
1593,1977.0,Guatemala,"Астуріас, Мігель Анхель(Анхел, Ангель)"
1594,1977.0,L. I. Brezhnev (1964 - 1982),Guatemala
1595,1977.0,Guatemala,"Астуріас, Мігель Анхель(Анхел, Ангель)"
1596,1979.0,L. I. Brezhnev (1964 - 1982),Guatemala
1597,1979.0,Guatemala,"Рене Кастільйо, Отто"
1598,1967.0,L. I. Brezhnev (1964 - 1982),French Guiana
1599,1967.0,French Guiana,"Міттельхольцер, Едгар"
1600,,,
1601,,,
1602,1961.0,N. S. Khrushchev (1953 - 1964),Guinea-Bissau
1603,1961.0,Guinea-Bissau,"Угніно, Марсела"
1604,1958.0,N. S. Khrushchev (1953 - 1964),Honduras
1605,1958.0,Honduras,"дель Вальє, Помпейо Сірано"
1606,1976.0,L. I. Brezhnev (1964 - 1982),Honduras
1607,1976.0,Honduras,"Касерес Лара, Віктор"
1608,1960.0,N. S. Khrushchev (1953 - 1964),Greece
1609,1960.0,Greece,"Антеос, Петрос"
1610,1959.0,N. S. Khrushchev (1953 - 1964),Greece
1611,1959.0,Greece,"Антеос, Петрос"
1612,1982.0,Y. V. Andropov (1982 - 1984),Greece
1613,1982.0,Greece,"Бумі-Папа, Ріта"
1614,1990.0,M. S. Gorbachev (1985 - 1991),Greece
1615,1990.0,Greece,"Васілікос, Васіліс"
1616,1990.0,M. S. Gorbachev (1985 - 1991),Greece
1617,1990.0,Greece,"Васілікос, Васіліс"
1618,1959.0,N. S. Khrushchev (1953 - 1964),Greece
1619,1959.0,Greece,"Вреттакос, Нікіфорос"
1620,1980.0,L. I. Brezhnev (1964 - 1982),Greece
1621,1980.0,Greece,"Елітіс, Одіссей"
1622,,,
1623,,,
1624,,,
1625,,,
1626,1959.0,N. S. Khrushchev (1953 - 1964),Greece
1627,1959.0,Greece,"Іоаніду, Еллі"
1628,1962.0,N. S. Khrushchev (1953 - 1964),Greece
1629,1962.0,Greece,"Іоаніду, Еллі"
1630,,,
1631,,,
1632,1962.0,N. S. Khrushchev (1953 - 1964),Greece
1633,1962.0,Greece,"Іоаніду, Еллі"
1634,,,
1635,,,
1636,1991.0,M. S. Gorbachev (1985 - 1991),Greece
1637,1991.0,Greece,"Кавафіс, Костянтин(Константінос)"
1638,,,
1639,,,
1640,,,
1641,,,
1642,1983.0,Y. V. Andropov (1982 - 1984),Greece
1643,1983.0,Greece,"Казандзакіс, Нікос"
1644,1965.0,L. I. Brezhnev (1964 - 1982),Greece
1645,1965.0,Greece,"Казандзакіс, Нікос"
1646,,,
1647,,,
1648,1971.0,L. I. Brezhnev (1964 - 1982),Greece
1649,1971.0,Greece,"Кодзяс, Костас"
1650,,,
1651,,,
1652,1968.0,L. I. Brezhnev (1964 - 1982),Greece
1653,1968.0,Greece,"Кодзяс, Костас"
1654,,,
1655,,,
1656,1980.0,L. I. Brezhnev (1964 - 1982),Greece
1657,1980.0,Greece,"Корнарос, Темос"
1658,,,
1659,,,
1660,1982.0,L. I. Brezhnev (1964 - 1982),Greece
1661,1982.0,Greece,"Лівадітіс, Тасос"
1662,1984.0,K. U. Chernenko (1984 - 1985),Greece
1663,1984.0,Greece,"Лідорікіс, Александрос"
1664,,,
1665,,,
1666,1959.0,N. S. Khrushchev (1953 - 1964),Greece
1667,1959.0,Greece,"Лудеміс, Менелаос"
1668,1959.0,N. S. Khrushchev (1953 - 1964),Greece
1669,1959.0,Greece,"Мірівіліс, Стратіс"
1670,,,
1671,,,
1672,1984.0,K. U. Chernenko (1984 - 1985),Greece
1673,1984.0,Greece,"Паламас, Костіс"
1674,1984.0,K. U. Chernenko (1984 - 1985),Greece
1675,1984.0,Greece,"Паламас, Костіс"
1676,1958.0,N. S. Khrushchev (1953 - 1964),Greece
1677,1958.0,Greece,"Папаперікліс, Нікос"
1678,,,
1679,,,
1680,1959.0,N. S. Khrushchev (1953 - 1964),Greece
1681,1959.0,Greece,"Папаперікліс, Нікос"
1682,,,
1683,,,
1684,1959.0,N. S. Khrushchev (1953 - 1964),Greece
1685,1959.0,Greece,"Папаперікліс, Нікос"
1686,,,
1687,,,
1688,1986.0,M. S. Gorbachev (1985 - 1991),Greece
1689,1986.0,Greece,"Пласковітіс, Спірос"
1690,,,
1691,,,
1692,1959.0,N. S. Khrushchev (1953 - 1964),Greece
1693,1959.0,Greece,"Ріцос, Янніс"
1694,1985.0,M. S. Gorbachev (1985 - 1991),Greece
1695,1985.0,Greece,"Ріцос, Янніс"
1696,1972.0,L. I. Brezhnev (1964 - 1982),Greece
1697,1972.0,Greece,"Ріцос, Янніс"
1698,1978.0,L. I. Brezhnev (1964 - 1982),Greece
1699,1978.0,Greece,"Ріцос, Янніс"
1700,,,
1701,,,
1702,1979.0,L. I. Brezhnev (1964 - 1982),Greece
1703,1979.0,Greece,"Ріцос, Янніс"
1704,,,
1705,,,
1706,,,
1707,,,
1708,,,
1709,,,
1710,,,
1711,,,
1712,,,
1713,,,
1714,1964.0,L. I. Brezhnev (1964 - 1982),Greece
1715,1964.0,Greece,"Ріцос, Янніс"
1716,,,
1717,,,
1718,1982.0,Y. V. Andropov (1982 - 1984),Greece
1719,1982.0,Greece,"Самаракіс, Антоніс"
1720,1988.0,M. S. Gorbachev (1985 - 1991),Greece
1721,1988.0,Greece,"Самаракіс, Антоніс"
1722,1979.0,L. I. Brezhnev (1964 - 1982),Greece
1723,1979.0,Greece,"Самаракіс, Антоніс"
1724,1987.0,M. S. Gorbachev (1985 - 1991),Greece
1725,1987.0,Greece,"Сеферіс, Йоргос"
1726,1966.0,L. I. Brezhnev (1964 - 1982),Greece
1727,1966.0,Greece,"Сеферіс, Йоргос"
1728,,,
1729,,,
1730,,,
1731,,,
1732,,,
1733,,,
1734,1964.0,N. S. Khrushchev (1953 - 1964),Greece
1735,1964.0,Greece,"Хадзіс, Димитріс"
1736,1929.0,J. V. Stalin (1922 - 1952),Georgia
1737,1929.0,Georgia,Джавахішвілі М
1738,1929.0,J. V. Stalin (1922 - 1952),Georgia
1739,1929.0,Georgia,Джавахішвілі М
1740,1930.0,J. V. Stalin (1922 - 1952),Georgia
1741,1930.0,Georgia,Назарлі
1742,1929.0,J. V. Stalin (1922 - 1952),Georgia
1743,1929.0,Georgia,"Суліяшвілі, Давид"
1744,1929.0,J. V. Stalin (1922 - 1952),Georgia
1745,1929.0,Georgia,"Суліяшвілі, Давид"
1746,1929.0,J. V. Stalin (1922 - 1952),Georgia
1747,1929.0,Georgia,"Татішвілі, Йос"
1748,1982.0,L. I. Brezhnev (1964 - 1982),Denmark
1749,1982.0,Denmark,"Андерсен, Бенні"
