,year,source,target
131,1976.0,Algeria,"Ашур, Мулуд"
132,1979.0,L. I. Brezhnev (1964 - 1982),Algeria
133,1979.0,Algeria,"Булануар, Мессаур"
134,1988.0,M. S. Gorbachev (1985 - 1991),Algeria
135,1988.0,Algeria,"Ваттар, Ат-Тахір"
136,,,
137,,,
138,1980.0,L. I. Brezhnev (1964 - 1982),Algeria
139,1980.0,Algeria,"Ваттар, Ат-Тахір"
140,,,
141,,,
142,1980.0,L. I. Brezhnev (1964 - 1982),Algeria
143,1980.0,Algeria,"Ваттар, Ат-Тахір"
144,,,
145,,,
146,1980.0,L. I. Brezhnev (1964 - 1982),Algeria
147,1980.0,Algeria,"Грекі, Анна"
148,1976.0,L. I. Brezhnev (1964 - 1982),Algeria
149,1976.0,Algeria,"Джаут, Тагар"
150,1972.0,L. I. Brezhnev (1964 - 1982),Algeria
151,1972.0,Algeria,"Діб, Мохаммед"
152,1976.0,L. I. Brezhnev (1964 - 1982),Algeria
153,1976.0,Algeria,"Єллес, Мурад"
154,1972.0,L. I. Brezhnev (1964 - 1982),Algeria
155,1972.0,Algeria,"Креа, Анрі"
156,1970.0,L. I. Brezhnev (1964 - 1982),Algeria
157,1970.0,Algeria,"Саадалла, Абу аль-Касим"
158,1959.0,N. S. Khrushchev (1953 - 1964),Algeria
159,1959.0,Algeria,"Салех Алжірський, Абу Абдаллаг"
160,,,
161,,,
162,1972.0,L. I. Brezhnev (1964 - 1982),Algeria
163,1972.0,Algeria,"Сенак, Жан"
164,1977.0,L. I. Brezhnev (1964 - 1982),Algeria
165,1977.0,Algeria,"Фелах, Салах"
166,1959.0,N. S. Khrushchev (1953 - 1964),Algeria
167,1959.0,Algeria,"Аль-Харфі, Салех ібн-Салех"
168,1976.0,L. I. Brezhnev (1964 - 1982),Algeria
169,1976.0,Algeria,"Шаїб, Мохаммед"
170,1974.0,L. I. Brezhnev (1964 - 1982),Angola
171,1974.0,Angola,"Андраді, Кошта"
172,1984.0,K. U. Chernenko (1984 - 1985),Angola
173,1984.0,Angola,Бенудія
174,1959.0,N. S. Khrushchev (1953 - 1964),Angola
175,1959.0,Angola,"Круш, Віріату да"
176,1970.0,L. I. Brezhnev (1964 - 1982),Angola
177,1970.0,Angola,"Нето(Нету), Агостинью (Агуштінью; Агостіньо; Агостіньйо)"
178,1972.0,L. I. Brezhnev (1964 - 1982),Angola
179,1972.0,Angola,"Нето(Нету), Агостинью (Агуштінью; Агостіньо; Агостіньйо)"
180,1974.0,L. I. Brezhnev (1964 - 1982),Angola
181,1974.0,Angola,"Нето(Нету), Агостинью (Агуштінью; Агостіньо; Агостіньйо)"
182,1979.0,L. I. Brezhnev (1964 - 1982),Angola
183,1979.0,Angola,"Нето(Нету), Агостинью (Агуштінью; Агостіньо; Агостіньйо)"
184,,,
185,,,
186,,,
187,,,
188,1961.0,N. S. Khrushchev (1953 - 1964),Angola
189,1961.0,Angola,"Нето(Нету), Агостинью (Агуштінью; Агостіньо; Агостіньйо)"
190,,,
191,,,
192,1985.0,M. S. Gorbachev (1985 - 1991),Angola
193,1985.0,Angola,Пепетела
194,1984.0,K. U. Chernenko (1984 - 1985),Angola
195,1984.0,Angola,Пепетела
196,1981.0,L. I. Brezhnev (1964 - 1982),Angola
197,1981.0,Angola,"Роша, Жофре"
198,1981.0,L. I. Brezhnev (1964 - 1982),Angola
199,1981.0,Angola,"Роша, Жофре"
200,1981.0,L. I. Brezhnev (1964 - 1982),Angola
201,1981.0,Angola,"Роша, Жофре"
202,1981.0,L. I. Brezhnev (1964 - 1982),Angola
203,1981.0,Angola,"Роша, Жофре"
204,1979.0,L. I. Brezhnev (1964 - 1982),Angola
205,1979.0,Angola,"Руй Монтейро, Мануел"
206,1974.0,L. I. Brezhnev (1964 - 1982),Angola
207,1974.0,Angola,"Сантуш, Арналду"
208,1976.0,L. I. Brezhnev (1964 - 1982),Argentina
209,1976.0,Argentina,"Абалос, Хорхе"
210,,,
211,,,
212,1976.0,L. I. Brezhnev (1964 - 1982),Argentina
213,1976.0,Argentina,"Боргес(Борхес), Хорхе Луїс"
214,1988.0,M. S. Gorbachev (1985 - 1991),Argentina
215,1988.0,Argentina,"Боргес(Борхес), Хорхе Луїс"
216,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
217,1989.0,Argentina,"Боргес(Борхес), Хорхе Луїс"
218,,,
219,,,
220,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
221,1989.0,Argentina,"Боргес(Борхес), Хорхе Луїс"
222,,,
223,,,
224,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
225,1989.0,Argentina,"Боргес(Борхес), Хорхе Луїс"
226,,,
227,,,
228,1989.0,M. S. Gorbachev (1985 - 1991),Argentina
